DESA_1,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Latitude,Longitude
NANGERANG,1801,1957,2058,2057,2317,2086,2086,2044,2097,2144,2144,2092,2207,-6.6971,107.5357
SIMPANG,1905,1897,1953,1943,1897,1896,1896,1925,1891,2020,2020,1934,2038,-6.6828,107.5402
SAKAMBANG,1401,1596,1630,1641,1583,1583,1583,1498,1592,1567,1570,1496,1623,-6.711,107.5402
NAGROG,3342,2343,2353,2542,2524,2417,2417,2415,2429,2580,2580,2412,2659,-6.7132,107.552
CIBUNTU,1427,1444,1469,1524,1574,1574,1574,1571,1622,1642,1640,1605,1700,-6.7079,107.555
SUMURUGUL,1596,1640,1685,1648,1749,1725,1725,1719,1710,1676,1680,1774,1759,-6.7077,107.5609
RAHARJA,1269,1347,1354,1414,1419,1384,1384,1440,1469,1500,1500,1475,1508,-6.6812,107.5476
WANAYASA,5003,5386,5399,5533,5705,5217,5217,5191,5204,5573,5570,5486,5533,-6.681,107.5553
BABAKAN,3279,3831,3847,3876,3875,3860,3860,3496,3853,3726,3730,3646,3802,-6.6755,107.5653
WANASARI,3281,3053,3281,3789,3792,3789,3789,3431,3684,3673,3670,3454,3632,-6.6696,107.549
LEGOKHUNI,2204,2516,2796,2887,2895,2958,2958,2621,2553,2771,2770,3564,2838,-6.6509,107.5357
CIAWI,2557,2913,2911,2981,2969,2967,2967,2909,3122,3064,3060,2997,3146,-6.6501,107.5224
SUKADAMI,3199,3117,3450,3547,3581,3616,3616,3461,3569,3733,3730,3533,3753,-6.6424,107.5224
TARINGGUL TONGGOH,3211,3442,3491,3483,3567,3617,3617,3520,3731,3808,3810,2684,3730,-6.620353,107.529806
TARINGGUL TENGAH,3446,3215,3214,3848,3211,3211,3211,3569,3508,3826,3830,3533,3853,-6.6103,107.5239
JATIMEKAR,3418,3980,3980,3906,3917,3938,4446,3756,3908,3810,4490,4490,3900,-6.5277,107.3997
CIKAOBANDUNG,4875,5132,5113,5073,5014,5147,6532,5704,5259,6057,6110,6110,6263,-6.5121,107.4056
JATILUHUR,3541,3597,3589,3631,3652,3743,4459,406,3743,4167,4520,4520,4303,-6.5272,107.4115
CILEGONG,4859,5055,5084,5105,5197,5378,5531,5658,5333,5899,6090,6090,6154,-6.5371,107.4233
KEMBANGKUNING,10645,9615,9639,9638,9615,9794,12195,10531,9545,10968,11910,11900,11708,-6.5477,107.4115
CIBINONG,4334,4379,4380,4400,4448,4692,5531,4908,4771,5027,5170,5170,5283,-6.558,107.4115
PARAKANLIMA,5103,4759,5434,5470,5567,5844,6821,5967,5611,6124,6490,6490,6568,-6.608,107.447
CISALADA,6018,6233,6279,6319,6658,6855,7912,6458,7019,6563,7250,7250,7401,-6.5825,107.4411
MEKARGALIH,8480,8867,8994,9082,9082,9280,11006,9154,9295,9258,9540,9540,9769,-6.5727,107.4292
BUNDER,10658,10698,10698,10836,12173,12368,1368,11689,12207,12065,12390,12400,12794,-6.5573,107.4292
PUSAKAMULYA,4023,4023,4156,3960,4296,4488,4508,4436,4457,4647,4960,4960,5078,-6.6851,107.5831
PARAKAN GAROKGEK,3000,3000,2881,2888,2663,3007,3002,3182,2940,3262,3340,3340,3473,-6.6641,107.5949
CIRACAS,2318,2318,2492,2673,2684,2787,2855,2829,2916,2855,2850,2850,2988,-6.6543,107.5831
KIARAPEDES,2720,2720,2611,2650,2886,2869,2908,2979,2894,3102,3100,3100,3199,-6.675,107.5862
CIBEBER,1945,1945,2042,2103,2106,2145,2068,2175,2164,2037,2350,2350,2468,-6.665,107.5712
SUMBERSARI,1540,1540,1608,1597,1865,1868,1824,1806,1774,1926,1920,1920,2039,-6.6605,107.5535
MEKARJAYA,1888,1888,2517,2511,2519,2551,2548,2497,2549,2040,2650,2650,2681,-6.6084,107.5771
MARGALUYU,2422,2422,2613,2619,2470,2637,2676,2666,2735,2585,2900,2900,3088,-6.6066,107.5564
GARDU,1884,1884,2243,2228,2216,2133,1934,2038,2118,2846,2140,2140,2147,-6.6414,107.549
TARINGGUL LANDEUH,1854,1854,1980,2019,2016,2057,2083,1932,2141,2295,4130,2130,2165,-6.63,107.5476
PARUNGBANTENG,2519,2558,2901,2980,3001,3201,3901,2627,2664,2609,2890,2890,2819,-6.6172,107.2607
SUKASARI,3341,3393,3127,3446,3863,2631,3545,3545,3545,3339,3780,3780,3859,-6.604,107.2696
CIRIRIP,2936,2984,3428,3863,3863,3370,4010,3841,4296,3354,3730,3680,3820,-6.5761,107.2607
KERTAMANAH,2458,2504,2458,2935,2986,2800,3248,2800,2109,2778,2880,2880,3020,-6.5552,107.2726
KUTAMANAH,3201,3268,3759,3810,3946,3264,3514,3244,3489,3815,3980,3980,4145,-6.5105,107.379
CIBINGBIN,4386,4411,4660,4679,4707,4745,3434,4648,5060,4701,5200,5200,5285,-6.7236,107.5121
BOJONG TIMUR,3741,3970,3979,3975,4115,3952,3792,4082,4149,4198,4450,4450,4448,-6.7435,107.5298
PASANGGRAHAN,2094,2345,2362,2343,2351,2354,2333,2388,2189,2361,2510,2510,2591,-6.763,107.5594
CIHANJAWAR,2079,1352,2346,2394,2405,2344,2343,2274,2041,2332,2410,2410,2524,-6.7399,107.5564
CIKERIS,2554,2731,2635,2666,2808,2829,282,2726,2681,2801,2940,2940,2885,-6.7078,107.5239
BOJONG BARAT,3181,3395,3368,3055,3120,3309,3289,3491,3488,3458,3780,3780,3823,-6.7072,107.5047
PANGKALAN,2235,2415,2415,2431,2443,2567,2663,2432,2467,2416,2580,2580,2660,-6.714,107.4943
SUKAMANAH,2462,3254,2649,2665,2706,2712,272,2760,2853,2879,3110,3110,3249,-6.6997,107.4987
PAWENANG,2581,2817,2831,2838,2898,2872,2872,2800,2788,2860,3110,3110,3107,-6.6979,107.5121
SINDANGSARI,2907,3055,3151,3148,3174,3184,3329,3100,3067,3228,3420,3420,3430,-6.6819,107.5298
SINDANGPANON,5297,5873,5874,5985,6021,6099,6114,5578,5560,5682,6110,6110,6070,-6.6694,107.5209
CIPEUNDEUY,4114,4526,4533,4560,4685,4556,4562,4212,4210,4349,4730,4730,4809,-6.6676,107.5002
CILEUNCA,3270,3480,3502,3651,3663,3720,3753,3520,3414,3541,3840,3840,3951,-6.6772,107.484
KERTASARI,3856,4030,4163,4162,4152,421,4454,4409,3965,4443,4800,4800,4793,-6.6502,107.4854
SINDANGKASIH,17971,17614,17971,16984,18071,17998,19199,19199,20127,19756,20040,20000,20578,-6.5657,107.4455
NAGERI KIDUL,15026,14590,15026,14568,14351,14244,15003,15108,14267,15262,15450,15500,15763,-6.5616,107.4529
NAGERI TENGAH,10582,10900,10582,11039,10549,12758,12975,10830,12599,11031,10900,10900,11309,-6.5528,107.4485
CIPAISAN,11986,9771,11986,9206,8857,8605,8159,11884,7909,12106,12360,12400,12562,-6.5507,107.4366
NAGERI KALER,25494,22500,25494,22202,21876,21078,21293,24217,21293,24376,24670,24700,24552,-6.5376,107.4455
