DESA_1,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Latitude,Longitude
NANGERANG,1801.0,1957.0,2058.0,2057,2317.0,2086.0,2086.0,2044.0,2097.0,2144,2144.0,2092.0,2207.0,-6.6971,107.5357
SIMPANG,1905.0,1897.0,1953.0,1943,1897.0,1896.0,1896.0,1925.0,1891.0,2020,2020.0,1934.0,2038.0,-6.6828,107.5402
SAKAMBANG,1401.0,1596.0,1630.0,1641,1583.0,1583.0,1583.0,1498.0,1592.0,1567,1570.0,1496.0,1.623,-6.711,107.5402
NAGROG,3342.0,2343.0,2353.0,2542,2524.0,2417.0,2417.0,2415.0,2429.0,2580,2580.0,2412.0,2659.0,-6.7132,107.552
CIBUNTU,1427.0,1444.0,1469.0,1524,1574.0,1574.0,1574.0,1571.0,1622.0,1642,1640.0,1605.0,1.7,-6.7079,107.555
SUMURUGUL,1596.0,1640.0,1685.0,1648,1749.0,1725.0,1725.0,1719.0,1710.0,1676,1680.0,1774.0,1.759,-6.7077,107.5609
RAHARJA,1269.0,1347.0,1354.0,1414,1419.0,1384.0,1384.0,1440.0,1469.0,1500,1500.0,1475.0,1.508,-6.6812,107.5476
WANAYASA,5003.0,5386.0,5399.0,5533,5705.0,5217.0,5217.0,5191.0,5204.0,5573,5570.0,5486.0,5533.0,-6.681,107.5553
BABAKAN,3279.0,3831.0,3847.0,3876,3875.0,3860.0,3860.0,3496.0,3853.0,3726,3730.0,3646.0,3802.0,-6.6755,107.5653
WANASARI,3281.0,3053.0,3281.0,3789,3792.0,3789.0,3789.0,3431.0,3684.0,3673,3670.0,3454.0,3632.0,-6.6696,107.549
LEGOKHUNI,2204.0,2516.0,2796.0,2887,2895.0,2958.0,2958.0,2621.0,2553.0,2771,2770.0,3564.0,2838.0,-6.6509,107.5357
CIAWI,2557.0,2913.0,2911.0,2981,2969.0,2967.0,2967.0,2909.0,3122.0,3064,3060.0,2997.0,3146.0,-6.6501,107.5224
SUKADAMI,3199.0,3117.0,3450.0,3547,3581.0,3616.0,3616.0,3461.0,3569.0,3733,3730.0,3533.0,3753.0,-6.6424,107.5224
