Unnamed:0,DESA_1,year,population
0,NANGERANG,2011,1801
1,SIMPANG,2011,1905
2,SAKAMBANG,2011,1401
3,NAGROG,2011,3342
4,CIBUNTU,2011,1427
5,SUMURUGUL,2011,1596
6,RAHARJA,2011,1269
7,WANAYASA,2011,5003
8,BABAKAN,2011,3279
9,WANASARI,2011,3281
10,LEGOKHUNI,2011,2204
11,CIAWI,2011,2557
12,SUKADAMI,2011,3199
13,TARINGGUL TONGGOH,2011,3211
14,TARINGGUL TENGAH,2011,3446
15,JATIMEKAR,2011,3418
16,CIKAOBANDUNG,2011,4875
17,JATILUHUR,2011,3541
18,CILEGONG,2011,4859
19,KEMBANGKUNING,2011,10645
20,CIBINONG,2011,4334
21,PARAKANLIMA,2011,5103
22,CISALADA,2011,6018
23,MEKARGALIH,2011,8480
24,BUNDER,2011,10658
25,PUSAKAMULYA,2011,4023
26,PARAKAN GAROKGEK,2011,3000
27,CIRACAS,2011,2318
28,KIARAPEDES,2011,2720
29,CIBEBER,2011,1945
30,SUMBERSARI,2011,1540
31,MEKARJAYA,2011,1888
32,MARGALUYU,2011,2422
33,GARDU,2011,1884
34,TARINGGUL LANDEUH,2011,1854
35,PARUNGBANTENG,2011,2519
36,SUKASARI,2011,3341
37,CIRIRIP,2011,2936
38,KERTAMANAH,2011,2458
39,KUTAMANAH,2011,3201
40,CIBINGBIN,2011,4386
41,BOJONG TIMUR,2011,3741
42,PASANGGRAHAN,2011,2094
43,CIHANJAWAR,2011,2079
44,CIKERIS,2011,2554
45,BOJONG BARAT,2011,3181
46,PANGKALAN,2011,2235
47,SUKAMANAH,2011,2462
48,PAWENANG,2011,2581
49,SINDANGSARI,2011,2907
50,SINDANGPANON,2011,5297
51,CIPEUNDEUY,2011,4114
52,CILEUNCA,2011,3270
53,KERTASARI,2011,3856
54,SINDANGKASIH,2011,17971
55,NAGERI KIDUL,2011,15026
56,NAGERI TENGAH,2011,10582
57,CIPAISAN,2011,11986
58,NAGERI KALER,2011,25494
59,TEGALMUNJUL,2011,13162
60,CITALANG,2011,7876
61,MUNJULJAYA,2011,17475
62,CISEUREUH,2011,36489
63,PURWAMEKAR,2011,9386
64,MARACANG,2011,7004
65,CIWARENG,2011,7745
66,MULYAMEKAR,2011,7595
67,CIGELAM,2011,5118
68,BABAKANCIKAO,2011,4107
69,KADUMEKAR,2011,1502
70,HEGARMANAH,2011,2863
71,CICADAS,2011,5468
72,CILANGKAP,2011,6074
73,BUNGUR JAYA,2011,1684
74,PONDOKBUNGUR,2011,2783
75,SALEM,2011,2742
76,GALUDRA,2011,1123
77,SUKAJADI,2011,2470
78,TANJUNGSARI,2011,4267
79,SALAM JAYA,2011,2414
80,SITU,2011,2026
81,PARAKANSALAM,2011,1520
82,SALAM MULYA,2011,2977
83,GURUDUG,2011,2323
84,CIHERANG,2011,3562
85,CIDAHU,2011,1403
86,PASAWAHAN ANYAR,2011,1637
87,PASAWAHANKIDUL,2011,3244
88,SAWAH KULON,2011,4354
89,KERTAJAYA,2011,4018
90,LEBAKANYAR,2011,4757
91,CIHUNI,2011,3238
92,WARUNGKADU,2011,2241
93,SELAAWI,2011,4105
94,MARGASARI,2011,3481
95,PASAWAHAN,2011,4478
96,CIRENDE,2011,1836
97,BENTENG,2011,2665
98,CAMPAKA,2011,3678
99,CAMPAKASARI,2011,4895
100,CIJUNTI,2011,4547
101,CISAAT,2011,3349
102,CIMAHI,2011,4562
103,CIKUMPAY,2011,6608
104,CIJAYA,2011,5007
105,KERTAMUKTI,2011,3760
106,WANAWALI,2011,1466
107,CIKADU,2011,1959
108,CIBUKAMANAH,2011,1876
109,CIRANGKONG,2011,2872
110,CIPANCUR,2011,1557
111,CIPINANG,2011,4146
112,CIPARUNGSARI,2011,3085
113,KARYAMEKAR,2011,2885
114,CIBATU,2011,2782
115,CILANDAK,2011,4360
116,PASIRANGIN,2011,4908
